real_relevance,suspicious,unique_mac,src_count,dst_count,src2dst_bytes,dst2src_bytes,src2dst_packets,dst2src_packets,src2dst_duration_ms,dst2src_duration_ms,first_conn_time
0,true,51-73-E1-14-BB-CF,194,231,92446,98384,2643,1902,39111,32241,2021-01-06 10:00:20
0,true,64-46-EB-44-55-37,74,62,11087,32336,1154,1021,19196,48944,2021-01-02 07:56:11
0,true,DA-A5-AF-04-17-15,259,31,25174,45927,4568,2884,17082,30353,2021-01-01 17:14:06
5,true,96-A2-D7-DD-87-6E,234,159,23656,58581,1099,721,23403,11995,2021-01-18 03:15:24
4,true,30-07-F4-F5-F1-7E,198,271,10896,76355,674,4735,41243,28055,2021-01-21 00:10:59
4,true,36-A8-DE-97-75-D1,89,12,99211,89854,2636,237,27782,31617,2021-01-14 05:52:14
4,true,6C-B7-31-00-96-99,181,136,60132,7109,3490,216,34443,25753,2021-01-06 11:04:51
2,true,96-46-E2-3B-8B-A6,12,96,29153,75236,3370,108,33679,48385,2021-01-11 18:59:07
0,true,3A-3A-9A-9C-B3-E3,21,174,45058,21721,990,3939,28421,16007,2021-01-04 16:06:03
1,true,65-CA-A1-D5-1D-35,191,38,46012,11908,1488,2474,31997,15569,2021-01-29 15:06:38
