real_relevance,suspicious,unique_mac,src_count,dst_count,src2dst_bytes,dst2src_bytes,src2dst_packets,dst2src_packets,src2dst_duration_ms,dst2src_duration_ms,first_conn_time
0,true,CF-B7-82-72-CB-59,167,43,64664,43567,1885,1277,15869,42713,2021-01-18 15:26:31
1,true,BF-5B-90-2C-5C-45,342,332,92877,42638,3915,2967,4347,45005,2021-01-05 13:22:06
0,true,D4-33-1C-6F-C4-CF,131,161,52358,56724,1959,4369,33402,46166,2021-01-22 11:01:23
0,true,A8-9D-91-30-54-78,64,317,78056,71675,4005,3922,19969,8794,2021-01-22 20:59:37
4,true,BF-BB-29-FD-7D-1C,73,173,80693,48018,119,700,38510,4513,2021-01-06 02:37:27
5,true,B3-52-4C-8F-52-55,207,186,23581,29263,2912,4181,4099,34550,2021-01-12 04:29:22
5,true,7F-85-0E-8D-C6-BC,35,342,49059,5636,4073,1577,8412,22450,2021-01-07 06:11:55
3,true,79-C2-1B-D6-1D-A9,73,112,95042,12411,1770,1567,196,30962,2021-01-14 16:33:33
4,true,FB-00-22-C0-49-B6,209,240,64465,1700,3380,3479,17029,17214,2021-01-19 20:48:33
0,true,0E-E5-F8-D9-AF-BB,42,283,10339,80653,1120,2207,18930,48507,2021-01-12 18:03:57
