real_relevance,suspicious,unique_mac,src_count,dst_count,src2dst_bytes,dst2src_bytes,src2dst_packets,dst2src_packets,src2dst_duration_ms,dst2src_duration_ms,first_conn_time
2,true,7E-21-CE-57-7C-C3,288,133,85087,64310,4066,1127,21873,45184,2021-01-13 11:10:43
1,true,7E-80-5E-5A-D0-5F,163,258,64169,50865,2393,2348,37547,14652,2021-01-17 17:23:59
1,true,F9-96-EC-E2-C5-83,21,141,15033,8718,2208,2614,30293,8702,2021-01-18 22:43:09
5,true,74-B4-5E-D1-B9-E4,173,318,98226,577,3796,1566,25136,42046,2021-01-10 20:17:39
4,true,42-3E-72-75-6C-B7,12,107,47857,6803,790,720,20724,9647,2021-01-11 14:47:39
0,true,16-76-9B-15-BA-99,284,27,15868,40659,4563,2666,43140,38096,2021-01-11 19:02:31
5,true,C8-04-50-FA-0A-56,318,316,17267,62791,3270,4096,13844,40608,2021-01-05 04:34:18
3,true,FA-AA-8B-40-1D-15,157,336,89888,19726,1472,2835,3388,2745,2021-01-27 22:04:36
1,true,60-00-CF-72-B8-6F,167,90,75891,31763,1792,4584,19497,44059,2021-01-04 14:47:15
0,true,02-28-53-C2-FB-C3,303,17,35310,59135,3431,803,7826,30141,2021-01-31 07:09:06
