real_relevance,suspicious,unique_mac,src_count,dst_count,src2dst_bytes,dst2src_bytes,src2dst_packets,dst2src_packets,src2dst_duration_ms,dst2src_duration_ms,first_conn_time
1,true,03-73-5F-A4-60-11,282,340,45218,3343,4043,2035,22739,700,2021-01-04 13:53:21
2,true,B6-D4-C2-B7-57-DB,71,159,80247,31457,2034,1842,3175,23812,2021-01-19 11:08:00
5,true,50-43-94-79-CB-7F,108,140,76648,50343,2501,4582,44547,49921,2021-01-19 00:02:14
0,true,5C-BA-07-5C-E0-ED,101,340,44564,56643,4681,1224,48407,39057,2021-01-11 20:18:11
5,true,51-A5-39-A5-A8-54,135,138,51261,35966,2775,3246,24502,31300,2021-01-30 01:27:04
2,true,F3-F6-5C-FC-17-67,67,279,41945,29459,2343,413,4051,7247,2021-01-02 19:41:10
0,true,06-0B-11-F0-78-2E,293,12,92681,95917,1474,1395,26397,26331,2021-01-07 23:34:04
5,true,C5-5E-9F-13-F9-EE,267,129,60003,22278,3532,4038,15808,34975,2021-01-07 02:42:51
1,true,5E-20-B4-7A-B5-DC,297,264,89822,58972,1787,1455,39021,34169,2021-01-13 11:56:18
1,true,86-0C-17-74-59-D0,157,110,62839,46310,2548,2063,29880,9438,2021-01-29 10:06:58
